Isotope	b_coh	xs_inc	xs_abs		Im(b_coh)
H	-3.739	80.26	0.3326		
D	6.671	2.05	0.000519		
He	3.26	0	0.00747		
Li	-1.9	0.92	70.5		
Be	7.79	0.0018	0.0076		
B	5.3	1.7	767		-0.213
C	6.646	0.001	0.0035		
N	9.36	0.5	1.9		
O	5.803	0.0008	0.00019		
F	5.654	0.0008	0.0096		
Ne	4.566	0.008	0.039		
Na	3.63	1.62	0.53		
Mg	5.375	0.08	0.063		
Al	3.449	0.0082	0.231		
Si	4.1491	0.004	0.171		
P	5.13	0.005	0.172		
S	2.847	0.007	0.53		
Cl	9.577	5.3	33.5		
Ar	1.909	0.225	0.675		
K	3.67	0.27	2.1		
Ca	4.7	0.05	0.43		
Sc	12.29	4.5	27.5		
Ti	-3.438	2.87	6.09		
V	-0.3824	5.08	5.08		
Cr	3.635	1.83	3.05		
Mn	-3.73	0.4	13.3		
Fe	9.45	0.4	2.56		
Co	2.49	4.8	37.18		
Ni	10.3	5.2	4.49		
Cu	7.718	0.55	3.78		
Zn	5.68	0.077	1.11		
Ga	7.288	0.16	2.75		
Ge	8.185	0.18	2.2		
As	6.58	0.06	4.5		
Se	7.97	0.32	11.7		
Br	6.795	0.1	6.9		
Kr	7.81	0.01	25		
Rb	7.09	0.5	0.38		
Sr	7.02	0.06	1.28		
Y	7.75	0.15	1.28		
Zr	7.16	0.02	0.185		
Nb	7.054	0.0024	1.15		
Mo	6.715	0.04	2.48		
Ru	7.03	0.4	2.56		
Rh	5.88	0.3	144.8		
Pd	5.91	0.093	6.9		
Ag	5.922	0.58	63.3		
Cd	4.87	3.46	2520		-0.7
In	4.065	0.54	193.8		-0.0539
Sn	6.225	0.022	0.626		
Sb	5.57	0.007	4.91		
Te	5.8	0.09	4.7		
I	5.28	0.31	6.15		
Xe	4.92	2.96	23.9		
Cs	5.42	0.21	29		
Ba	5.07	0.15	1.1		
La	8.24	1.13	8.97		
Ce	4.84	0.001	0.63		
Pr	4.58	0.015	11.5		
Nd	7.69	9.2	50.5		
Sm	0.8	39	5922		-1.65
Eu	7.22	2.5	4530		-1.26
Gd	6.5	151	49700		-13.82
Tb	7.38	0.004	23.4		
Dy	16.9	54.4	994		-0.276
Ho	8.01	0.36	64.7		
Er	7.79	1.1	159		
Tm	7.07	0.1	100		
Yb	12.43	4	34.8		
Lu	7.21	0.7	74		
Hf	7.7	2.6	104.1		
Ta	6.91	0.01	20.6		
W	4.86	1.63	18.3		
Re	9.2	0.9	89.7		
Os	10.7	0.3	16		
Ir	10.6	0	425		
Pt	9.6	0.13	10.3		
Au	7.63	0.43	98.65		
Hg	12.692	6.6	372.3		
Tl	8.776	0.21	3.43		
Pb	9.405	0.003	0.171		
Bi	8.532	0.0084	0.0338		
Th	10.31	0	7.37		
U	8.417	0.005	7.57		
