 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
   0.000    0.000     0.000   0.000   0.000
   0.044    9.453     0.534  -8.697  17.615
   0.087    5.589     0.337  -4.513   9.766
   0.131    3.619     0.386  -1.699   4.932
   0.175    3.038     0.484  -1.461   4.016
   0.218    3.659     0.461  -2.800   5.998
   0.262    3.411     0.323  -2.549   5.637
   0.305    1.780     0.283  -0.993   2.490
   0.349    0.248     0.290  -0.091   0.049
   0.393   -1.000     0.207   0.070  -1.276
   0.436   -1.311     0.065   0.063  -1.438
   0.480   -0.762     0.006   0.181  -0.950
   0.524   -0.616     0.107   0.122  -0.845
   0.567   -0.749     0.141   0.069  -0.959
   0.611   -0.808     0.068   0.188  -1.065
   0.654   -0.879     0.087   0.162  -1.128
   0.698   -0.747     0.107   0.042  -0.896
   0.742   -0.608     0.053   0.078  -0.738
   0.785   -0.511     0.052   0.195  -0.759
   0.829   -0.715     0.065   0.186  -0.966
   0.873   -0.754     0.025   0.086  -0.865
   0.916   -0.523     0.001  -0.061  -0.463
   0.960   -0.471     0.063  -0.097  -0.438
   1.004   -0.257     0.070   0.010  -0.338
   1.047   -0.150    -0.002   0.002  -0.150
   1.091   -0.034     0.008  -0.091   0.049
   1.134    0.031     0.015  -0.230   0.247
   1.178    0.100     0.006  -0.340   0.435
   1.222    0.506     0.056  -0.314   0.764
   1.265    0.827     0.045  -0.304   1.086
   1.309    0.754     0.021  -0.389   1.122
   1.353    0.506     0.047  -0.410   0.869
