 Substance:Al_U       2023/12/12 09:53:01                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
   0.000     0.000   0.000   0.000
   0.044     0.385 -23.886 121.726
   0.087    -0.127 -11.026  67.006
   0.131     0.001  -3.597  33.320
   0.175     0.256  -3.355  26.913
   0.218     0.197  -7.074  40.639
   0.262    -0.161  -7.199  38.068
   0.305    -0.264  -3.453  16.224
   0.349    -0.243  -0.728  -0.663
   0.393    -0.460  -0.566  -9.787
   0.436    -0.831  -1.362 -10.875
   0.480    -0.983  -0.383  -7.502
   0.524    -0.720  -0.171  -6.766
   0.567    -0.629  -1.043  -7.521
   0.611    -0.820  -0.767  -8.213
   0.654    -0.769  -0.484  -8.617
   0.698    -0.717  -0.881  -7.025
   0.742    -0.860  -0.950  -5.941
   0.785    -0.860  -0.469  -6.058
   0.829    -0.825  -0.646  -7.408
   0.873    -0.933  -0.910  -6.715
   0.916    -0.998  -0.991  -4.041
   0.960    -0.829  -1.173  -3.864
   1.004    -0.811  -1.049  -3.198
   1.047    -1.005  -0.992  -1.972
   1.091    -0.978  -1.132  -0.687
   1.134    -0.960  -1.498   0.580
   1.178    -0.983  -1.798   1.770
   1.222    -0.845  -1.753   3.843
   1.265    -0.876  -1.714   5.852
   1.309    -0.941  -1.759   6.042
   1.353    -0.868  -1.699   4.427
   1.396    -0.901  -1.735   4.094
   1.440    -0.949  -1.673   2.960
   1.484    -0.964  -1.270   0.602
   1.527    -0.950  -1.076  -0.708
   1.571    -0.912  -1.147  -2.145
   1.614    -0.934  -1.230  -3.195
   1.658    -0.958  -1.156  -4.235
   1.702    -0.976  -0.977  -4.694
   1.745    -0.975  -0.856  -4.353
   1.789    -0.908  -0.882  -4.062
   1.833    -0.901  -1.022  -3.447
   1.876    -0.899  -1.027  -3.387
   1.920    -0.841  -1.030  -3.242
   1.963    -0.854  -1.054  -2.286
   2.007    -0.835  -0.961  -1.252
   2.051    -0.783  -0.851  -0.640
   2.094    -0.807  -0.832  -0.298
   2.138    -0.842  -0.768  -0.004
   2.182    -0.772  -0.565   0.462
   2.225    -0.702  -0.427   1.034
   2.269    -0.669  -0.261   0.803
   2.313    -0.545   0.072   0.716
   2.356    -0.454   0.335   1.442
   2.400    -0.380   0.612   1.892
   2.443    -0.198   1.124   2.108
   2.487     0.086   1.756   3.068
   2.531     0.476   2.453   4.794
   2.574     0.988   3.247   5.917
   2.618     1.453   3.863   6.033
   2.662     1.727   4.010   5.218
   2.705     1.853   3.689   3.736
   2.749     1.786   2.986   2.181
   2.793     1.510   2.024   0.374
   2.836     1.155   1.113  -1.642
   2.880     0.955   0.510  -2.749
   2.923     0.835   0.027  -2.969
   2.967     0.651  -0.448  -3.465
   3.011     0.560  -0.810  -3.500
   3.054     0.465  -0.936  -2.955
   3.098     0.333  -0.963  -2.730
   3.142     0.284  -1.045  -2.334
   3.185     0.216  -1.125  -1.468
   3.229     0.102  -1.196  -0.440
   3.272     0.027  -1.183   0.643
   3.316    -0.006  -1.242   1.261
   3.360    -0.046  -1.285   1.165
   3.403    -0.094  -1.212   0.950
   3.447    -0.153  -1.189   0.473
   3.491    -0.209  -1.206  -0.148
   3.534    -0.249  -1.150  -0.448
   3.578    -0.291  -0.972  -0.761
   3.622    -0.328  -0.895  -1.029
   3.665    -0.353  -0.874  -1.182
   3.709    -0.365  -0.730  -1.206
   3.752    -0.368  -0.596  -1.084
   3.796    -0.398  -0.581  -0.867
   3.840    -0.418  -0.437  -0.547
   3.883    -0.406  -0.236  -0.600
   3.927    -0.410  -0.192  -0.524
   3.971    -0.391  -0.108  -0.191
   4.014    -0.369   0.039  -0.115
   4.058    -0.359   0.183  -0.084
   4.102    -0.317   0.254   0.163
   4.145    -0.274   0.370   0.693
   4.189    -0.252   0.561   0.852
   4.232    -0.210   0.678   1.030
   4.276    -0.147   0.706   1.566
   4.320    -0.096   0.774   1.563
   4.363    -0.078   0.900   1.482
   4.407    -0.073   0.890   1.604
   4.451    -0.050   0.781   1.464
   4.494    -0.037   0.677   1.173
   4.538    -0.017   0.599   0.676
   4.581     0.014   0.505   0.142
   4.625     0.017   0.456  -0.410
   4.669     0.010   0.415  -0.797
   4.712     0.028   0.281  -0.709
   4.756     0.020   0.216  -0.694
   4.800     0.005   0.181  -0.965
   4.843     0.043   0.112  -0.867
   4.887     0.079   0.101  -0.518
   4.931     0.086   0.090  -0.282
   4.974     0.102   0.072   0.172
   5.018     0.120   0.079   0.627
   5.061     0.126   0.098   0.804
   5.105     0.131   0.126   0.565
   5.149     0.147   0.052   0.490
   5.192     0.174  -0.032   0.847
   5.236     0.174  -0.008   0.625
   5.280     0.172  -0.015   0.152
   5.323     0.193  -0.118   0.034
   5.367     0.215  -0.281  -0.268
   5.411     0.213  -0.427  -0.710
   5.454     0.184  -0.469  -0.731
   5.498     0.163  -0.489  -0.751
   5.541     0.159  -0.545  -1.086
   5.585     0.140  -0.567  -1.175
   5.629     0.111  -0.516  -1.064
   5.672     0.102  -0.513  -0.940
   5.716     0.091  -0.558  -0.795
   5.760     0.055  -0.540  -0.670
   5.803     0.024  -0.473  -0.478
   5.847     0.012  -0.401  -0.368
   5.890     0.001  -0.390  -0.325
   5.934    -0.025  -0.301  -0.103
   5.978    -0.052  -0.165   0.100
   6.021    -0.057  -0.121   0.117
   6.065    -0.062  -0.117   0.279
   6.109    -0.076  -0.049   0.545
   6.152    -0.080   0.070   0.544
   6.196    -0.076   0.123   0.606
   6.240    -0.085   0.181   0.801
   6.283    -0.092   0.284   0.788
   6.327    -0.093   0.358   0.910
   6.370    -0.083   0.373   1.012
   6.414    -0.067   0.418   0.740
   6.458    -0.063   0.484   0.525
   6.501    -0.071   0.492   0.668
   6.545    -0.073   0.473   0.612
   6.589    -0.060   0.419   0.148
   6.632    -0.070   0.364  -0.108
   6.676    -0.090   0.356  -0.228
   6.720    -0.065   0.362  -0.253
   6.763    -0.045   0.345  -0.232
   6.807    -0.052   0.280  -0.399
   6.850    -0.048   0.222  -0.412
   6.894    -0.058   0.158  -0.233
   6.938    -0.061   0.104  -0.167
   6.981    -0.035   0.087  -0.145
   7.025    -0.033   0.043  -0.022
   7.069    -0.042   0.020  -0.067
   7.112    -0.028  -0.001  -0.212
   7.156    -0.025  -0.068  -0.028
   7.199    -0.024  -0.149   0.131
   7.243    -0.006  -0.211   0.045
   7.287    -0.002  -0.223  -0.061
   7.330     0.001  -0.251  -0.087
   7.374     0.007  -0.267  -0.090
   7.418     0.010  -0.240  -0.233
   7.461     0.013  -0.271  -0.115
   7.505     0.021  -0.272   0.016
   7.549     0.026  -0.249  -0.160
   7.592     0.020  -0.291  -0.274
   7.636     0.020  -0.271  -0.319
   7.679     0.030  -0.237  -0.427
   7.723     0.039  -0.224  -0.428
   7.767     0.039  -0.176  -0.196
   7.810     0.038  -0.156  -0.164
   7.854     0.046  -0.144  -0.316
   7.898     0.051  -0.120  -0.215
   7.941     0.057  -0.055  -0.070
   7.985     0.066  -0.033  -0.051
   8.029     0.054  -0.056   0.097
   8.072     0.035   0.002   0.142
   8.116     0.038   0.043   0.165
   8.159     0.045   0.022   0.305
   8.203     0.040   0.059   0.268
   8.247     0.026   0.116   0.356
   8.290     0.026   0.077   0.333
   8.334     0.030   0.075   0.180
   8.378     0.040   0.121   0.343
   8.421     0.043   0.109   0.418
   8.465     0.019   0.177   0.202
   8.508     0.009   0.230   0.135
   8.552     0.017   0.159   0.244
   8.596     0.003   0.147   0.108
   8.639     0.001   0.169   0.039
   8.683     0.013   0.162   0.009
   8.727     0.016   0.186  -0.222
   8.770     0.018   0.203  -0.196
   8.814     0.005   0.150   0.030
   8.858    -0.013   0.070   0.051
   8.901    -0.018   0.075  -0.046
   8.945    -0.018   0.124   0.001
   8.988    -0.026   0.094   0.090
   9.032    -0.027   0.058   0.071
   9.076    -0.019   0.076   0.026
   9.119    -0.022   0.040   0.067
   9.163    -0.035  -0.021   0.097
   9.207    -0.035  -0.023   0.002
   9.250    -0.019  -0.054   0.038
   9.294    -0.026  -0.087   0.063
   9.338    -0.042  -0.074  -0.163
   9.381    -0.035  -0.096  -0.211
   9.425    -0.027  -0.152  -0.055
   9.468    -0.029  -0.156  -0.111
   9.512    -0.028  -0.116  -0.315
   9.556    -0.024  -0.112  -0.293
   9.599    -0.024  -0.142  -0.144
   9.643    -0.024  -0.166  -0.209
   9.687    -0.031  -0.160  -0.250
   9.730    -0.029  -0.145  -0.158
   9.774    -0.013  -0.130  -0.200
   9.817    -0.020  -0.123  -0.185
   9.861    -0.026  -0.108  -0.106
   9.905    -0.015  -0.064  -0.168
   9.948    -0.011  -0.069  -0.082
   9.992    -0.008  -0.066   0.012
  10.036    -0.007  -0.026   0.011
  10.079    -0.010  -0.013   0.131
  10.123    -0.009  -0.023   0.187
  10.167    -0.006   0.000   0.113
  10.210     0.001   0.071   0.118
  10.254     0.002   0.064   0.242
  10.297    -0.000   0.043   0.261
  10.341     0.006   0.078   0.245
  10.385     0.017   0.087   0.273
  10.428     0.019   0.099   0.214
  10.472     0.011   0.100   0.122
  10.516     0.011   0.095   0.070
  10.559     0.019   0.096   0.098
  10.603     0.026   0.092   0.057
  10.647     0.032   0.120  -0.085
  10.690     0.017   0.130  -0.047
  10.734     0.015   0.105   0.026
  10.777     0.033   0.079  -0.080
  10.821     0.033   0.080  -0.155
  10.865     0.032   0.091  -0.062
  10.908     0.026   0.051   0.022
  10.952     0.026   0.013  -0.037
  10.996     0.028  -0.000  -0.032
  11.039     0.025   0.007   0.052
  11.083     0.022   0.021   0.037
  11.126     0.016   0.007  -0.012
  11.170     0.016  -0.014   0.041
  11.214     0.012  -0.042   0.127
  11.257     0.010  -0.045   0.068
  11.301     0.015  -0.046  -0.022
  11.345     0.013  -0.064   0.031
  11.388     0.010  -0.050   0.085
  11.432     0.004  -0.054   0.020
  11.476    -0.002  -0.089  -0.077
  11.519    -0.004  -0.090  -0.057
  11.563     0.005  -0.061  -0.012
