 Substance:Al_U       2023/12/12 09:53:56                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]  0.174532935    

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
   0.000     0.000   0.000   0.000
   0.044     0.108  -6.952  45.604
   0.087     0.093  -6.660  43.007
   0.131     0.061  -6.170  38.687
   0.175     0.004  -5.496  32.779
   0.218    -0.082  -4.675  25.650
   0.262    -0.193  -3.776  17.911
   0.305    -0.321  -2.886  10.332
   0.349    -0.449  -2.095   3.665
   0.393    -0.564  -1.470  -1.543
   0.436    -0.653  -1.040  -5.075
   0.480    -0.712  -0.793  -7.056
   0.524    -0.745  -0.686  -7.856
   0.567    -0.762  -0.666  -7.936
   0.611    -0.773  -0.684  -7.693
   0.654    -0.785  -0.710  -7.377
   0.698    -0.803  -0.732  -7.078
   0.742    -0.825  -0.754  -6.777
   0.785    -0.847  -0.783  -6.412
   0.829    -0.868  -0.824  -5.931
   0.873    -0.885  -0.878  -5.314
   0.916    -0.899  -0.945  -4.560
   0.960    -0.912  -1.025  -3.673
   1.004    -0.922  -1.116  -2.652
   1.047    -0.930  -1.221  -1.499
   1.091    -0.934  -1.337  -0.237
   1.134    -0.932  -1.457   1.067
   1.178    -0.926  -1.566   2.299
   1.222    -0.918  -1.650   3.316
   1.265    -0.911  -1.695   3.976
   1.309    -0.909  -1.695   4.175
   1.353    -0.912  -1.653   3.877
   1.396    -0.918  -1.578   3.123
   1.440    -0.926  -1.483   2.025
   1.484    -0.934  -1.381   0.738
   1.527    -0.940  -1.284  -0.573
   1.571    -0.945  -1.197  -1.764
   1.614    -0.947  -1.123  -2.730
   1.658    -0.947  -1.065  -3.415
   1.702    -0.943  -1.024  -3.809
   1.745    -0.934  -0.999  -3.934
   1.789    -0.920  -0.988  -3.831
   1.833    -0.902  -0.986  -3.547
   1.876    -0.882  -0.986  -3.130
   1.920    -0.863  -0.980  -2.621
   1.963    -0.847  -0.961  -2.060
   2.007    -0.832  -0.923  -1.483
   2.051    -0.817  -0.860  -0.928
   2.094    -0.797  -0.771  -0.425
   2.138    -0.770  -0.656   0.002
   2.182    -0.732  -0.512   0.348
   2.225    -0.682  -0.337   0.633
   2.269    -0.615  -0.121   0.902
   2.313    -0.524   0.148   1.217
   2.356    -0.397   0.488   1.639
   2.400    -0.222   0.909   2.200
   2.443     0.011   1.406   2.878
   2.487     0.297   1.947   3.586
   2.531     0.617   2.472   4.185
   2.574     0.938   2.903   4.517
   2.618     1.216   3.163   4.453
   2.662     1.413   3.195   3.938
   2.705     1.505   2.983   3.014
   2.749     1.491   2.558   1.807
   2.793     1.388   1.987   0.498
   2.836     1.228   1.353  -0.735
   2.880     1.045   0.738  -1.749
   2.923     0.867   0.200  -2.463
   2.967     0.710  -0.231  -2.854
   3.011     0.577  -0.552  -2.939
   3.054     0.465  -0.777  -2.758
   3.098     0.368  -0.930  -2.359
   3.142     0.281  -1.033  -1.801
   3.185     0.201  -1.104  -1.158
   3.229     0.127  -1.153  -0.518
   3.272     0.061  -1.188   0.029
   3.316     0.001  -1.208   0.407
   3.360    -0.054  -1.215   0.573
   3.403    -0.105  -1.205   0.529
   3.447    -0.153  -1.177   0.318
   3.491    -0.199  -1.132   0.008
   3.534    -0.241  -1.070  -0.325
   3.578    -0.279  -0.996  -0.618
   3.622    -0.311  -0.912  -0.831
   3.665    -0.338  -0.820  -0.948
   3.709    -0.360  -0.723  -0.975
   3.752    -0.376  -0.621  -0.928
   3.796    -0.388  -0.515  -0.831
   3.840    -0.395  -0.407  -0.705
   3.883    -0.396  -0.295  -0.566
   3.927    -0.391  -0.183  -0.417
   3.971    -0.380  -0.068  -0.258
   4.014    -0.362   0.048  -0.082
   4.058    -0.338   0.166   0.119
   4.102    -0.308   0.285   0.345
   4.145    -0.273   0.402   0.590
   4.189    -0.236   0.514   0.839
   4.232    -0.197   0.614   1.070
   4.276    -0.160   0.695   1.259
   4.320    -0.126   0.751   1.378
   4.363    -0.096   0.775   1.407
   4.407    -0.071   0.769   1.332
   4.451    -0.050   0.734   1.153
   4.494    -0.032   0.677   0.884
   4.538    -0.017   0.607   0.553
   4.581    -0.005   0.530   0.199
   4.625     0.005   0.452  -0.135
   4.669     0.013   0.377  -0.412
   4.712     0.020   0.308  -0.603
   4.756     0.028   0.246  -0.691
   4.800     0.039   0.194  -0.674
   4.843     0.051   0.153  -0.562
   4.887     0.067   0.124  -0.376
   4.931     0.083   0.104  -0.146
   4.974     0.098   0.092   0.093
   5.018     0.113   0.084   0.308
   5.061     0.126   0.075   0.470
   5.105     0.139   0.062   0.560
   5.149     0.150   0.039   0.570
   5.192     0.162   0.004   0.501
   5.236     0.173  -0.046   0.366
   5.280     0.182  -0.110   0.181
   5.323     0.188  -0.186  -0.036
   5.367     0.190  -0.267  -0.263
   5.411     0.187  -0.346  -0.481
   5.454     0.179  -0.414  -0.672
   5.498     0.168  -0.468  -0.819
   5.541     0.153  -0.504  -0.914
   5.585     0.135  -0.524  -0.953
   5.629     0.117  -0.531  -0.936
   5.672     0.097  -0.527  -0.874
   5.716     0.077  -0.512  -0.776
   5.760     0.056  -0.486  -0.655
   5.803     0.035  -0.449  -0.521
   5.847     0.014  -0.401  -0.381
   5.890    -0.005  -0.344  -0.241
   5.934    -0.023  -0.281  -0.102
   5.978    -0.038  -0.215   0.035
   6.021    -0.051  -0.148   0.170
   6.065    -0.061  -0.080   0.302
   6.109    -0.070  -0.013   0.427
   6.152    -0.076   0.056   0.542
   6.196    -0.080   0.125   0.641
   6.240    -0.082   0.194   0.721
   6.283    -0.083   0.260   0.774
   6.327    -0.081   0.321   0.796
   6.370    -0.079   0.371   0.782
   6.414    -0.076   0.408   0.729
   6.458    -0.073   0.430   0.638
   6.501    -0.071   0.438   0.513
   6.545    -0.070   0.433   0.364
   6.589    -0.069   0.418   0.203
   6.632    -0.068   0.396   0.047
   6.676    -0.066   0.369  -0.088
   6.720    -0.063   0.337  -0.190
   6.763    -0.060   0.301  -0.254
   6.807    -0.056   0.261  -0.278
   6.850    -0.053   0.218  -0.271
   6.894    -0.050   0.174  -0.243
   6.938    -0.047   0.131  -0.203
   6.981    -0.043   0.089  -0.159
   7.025    -0.039   0.047  -0.118
   7.069    -0.034   0.005  -0.082
   7.112    -0.029  -0.039  -0.054
   7.156    -0.023  -0.084  -0.036
   7.199    -0.017  -0.129  -0.029
   7.243    -0.011  -0.169  -0.033
   7.287    -0.005  -0.203  -0.046
   7.330     0.001  -0.229  -0.064
   7.374     0.006  -0.246  -0.085
   7.418     0.010  -0.256  -0.108
   7.461     0.014  -0.262  -0.134
   7.505     0.017  -0.264  -0.166
   7.549     0.021  -0.263  -0.202
   7.592     0.024  -0.258  -0.240
   7.636     0.027  -0.247  -0.273
   7.679     0.030  -0.231  -0.294
   7.723     0.034  -0.211  -0.298
   7.767     0.039  -0.186  -0.283
   7.810     0.043  -0.160  -0.251
   7.854     0.047  -0.132  -0.205
   7.898     0.050  -0.105  -0.148
   7.941     0.051  -0.078  -0.085
   7.985     0.051  -0.052  -0.016
   8.029     0.049  -0.026   0.054
   8.072     0.046  -0.002   0.121
   8.116     0.042   0.019   0.181
   8.159     0.039   0.039   0.230
   8.203     0.036   0.057   0.265
   8.247     0.034   0.073   0.287
   8.290     0.033   0.089   0.297
   8.334     0.032   0.105   0.297
   8.378     0.030   0.121   0.288
   8.421     0.026   0.136   0.269
   8.465     0.022   0.150   0.240
   8.508     0.018   0.161   0.199
   8.552     0.015   0.168   0.147
   8.596     0.012   0.172   0.090
   8.639     0.010   0.172   0.035
   8.683     0.009   0.168  -0.011
   8.727     0.007   0.161  -0.041
   8.770     0.004   0.150  -0.052
   8.814    -0.000   0.137  -0.045
   8.858    -0.006   0.123  -0.027
   8.901    -0.012   0.108  -0.003
   8.945    -0.017   0.094   0.020
   8.988    -0.021   0.080   0.038
   9.032    -0.023   0.064   0.050
   9.076    -0.025   0.046   0.055
   9.119    -0.026   0.025   0.052
   9.163    -0.027   0.001   0.042
   9.207    -0.028  -0.024   0.023
   9.250    -0.030  -0.048  -0.003
   9.294    -0.030  -0.070  -0.036
   9.338    -0.031  -0.089  -0.074
   9.381    -0.031  -0.105  -0.112
   9.425    -0.030  -0.117  -0.147
   9.468    -0.029  -0.126  -0.176
   9.512    -0.028  -0.133  -0.196
   9.556    -0.027  -0.138  -0.208
   9.599    -0.026  -0.142  -0.212
   9.643    -0.025  -0.143  -0.210
   9.687    -0.024  -0.142  -0.203
   9.730    -0.023  -0.136  -0.193
   9.774    -0.022  -0.127  -0.178
   9.817    -0.020  -0.115  -0.158
   9.861    -0.018  -0.100  -0.131
   9.905    -0.016  -0.084  -0.097
   9.948    -0.013  -0.068  -0.056
   9.992    -0.011  -0.051  -0.011
  10.036    -0.009  -0.035   0.035
  10.079    -0.008  -0.018   0.078
  10.123    -0.006  -0.001   0.117
  10.167    -0.004   0.017   0.151
  10.210    -0.001   0.034   0.180
  10.254     0.001   0.049   0.202
  10.297     0.005   0.062   0.215
  10.341     0.008   0.073   0.216
  10.385     0.011   0.082   0.204
  10.428     0.013   0.088   0.180
  10.472     0.015   0.094   0.147
  10.516     0.017   0.098   0.108
  10.559     0.019   0.101   0.068
  10.603     0.021   0.104   0.031
  10.647     0.023   0.105  -0.001
  10.690     0.024   0.103  -0.026
  10.734     0.026   0.098  -0.043
  10.777     0.027   0.089  -0.053
  10.821     0.028   0.077  -0.054
  10.865     0.028   0.063  -0.049
  10.908     0.028   0.049  -0.037
  10.952     0.027   0.035  -0.022
  10.996     0.025   0.023  -0.005
  11.039     0.023   0.012   0.010
  11.083     0.021   0.002   0.024
  11.126     0.018  -0.008   0.035
  11.170     0.016  -0.017   0.043
  11.214     0.015  -0.027   0.046
  11.257     0.013  -0.037   0.046
  11.301     0.011  -0.046   0.040
  11.345     0.009  -0.054   0.030
  11.388     0.007  -0.060   0.017
  11.432     0.005  -0.065   0.000
  11.476     0.004  -0.067  -0.019
  11.519     0.002  -0.068  -0.040
  11.563     0.001  -0.067  -0.062
  11.606     0.000  -0.065  -0.085
  11.650    -0.001  -0.063  -0.107
  11.694    -0.003  -0.060  -0.128
  11.737    -0.006  -0.056  -0.144
  11.781    -0.008  -0.053  -0.152
  11.825    -0.011  -0.050  -0.152
  11.868    -0.014  -0.046  -0.142
  11.912    -0.015  -0.041  -0.122
  11.956    -0.017  -0.035  -0.095
  11.999    -0.018  -0.027  -0.063
  12.043    -0.018  -0.017  -0.030
  12.086    -0.019  -0.007  -0.001
  12.130    -0.019   0.004   0.024
  12.174    -0.020   0.014   0.043
  12.217    -0.020   0.023   0.057
  12.261    -0.021   0.030   0.067
  12.305    -0.021   0.037   0.075
  12.348    -0.021   0.043   0.079
  12.392    -0.021   0.048   0.080
  12.435    -0.020   0.053   0.076
  12.479    -0.019   0.055   0.069
  12.523    -0.018   0.056   0.061
  12.566    -0.017   0.054   0.054
  12.610    -0.016   0.051   0.051
  12.654    -0.015   0.047   0.052
  12.697    -0.013   0.044   0.056
  12.741    -0.011   0.040   0.059
  12.785    -0.009   0.037   0.058
  12.828    -0.006   0.034   0.053
  12.872    -0.004   0.029   0.043
  12.915    -0.001   0.023   0.032
  12.959     0.001   0.017   0.023
  13.003     0.003   0.011   0.018
  13.046     0.006   0.005   0.019
  13.090     0.008   0.001   0.023
  13.134     0.010  -0.004   0.028
  13.177     0.012  -0.008   0.029
  13.221     0.014  -0.013   0.027
  13.265     0.016  -0.019   0.018
  13.308     0.017  -0.025   0.006
  13.352     0.018  -0.031  -0.007
  13.395     0.019  -0.036  -0.020
  13.439     0.019  -0.039  -0.030
  13.483     0.019  -0.041  -0.036
  13.526     0.019  -0.042  -0.039
  13.570     0.019  -0.043  -0.041
  13.614     0.019  -0.042  -0.045
  13.657     0.018  -0.042  -0.053
  13.701     0.017  -0.040  -0.065
  13.744     0.016  -0.039  -0.079
  13.788     0.014  -0.036  -0.091
  13.832     0.013  -0.033  -0.098
  13.875     0.011  -0.029  -0.098
  13.919     0.010  -0.023  -0.089
  13.963     0.010  -0.016  -0.075
  14.006     0.009  -0.008  -0.058
  14.050     0.008   0.001  -0.040
  14.094     0.007   0.010  -0.023
  14.137     0.005   0.018  -0.009
  14.181     0.003   0.023   0.004
  14.224     0.000   0.026   0.015
  14.268    -0.002   0.027   0.025
  14.312    -0.004   0.027   0.033
  14.355    -0.005   0.028   0.037
  14.399    -0.005   0.029   0.039
  14.443    -0.006   0.031   0.037
  14.486    -0.006   0.035   0.034
  14.530    -0.007   0.038   0.030
  14.573    -0.008   0.039   0.027
  14.617    -0.009   0.040   0.027
  14.661    -0.011   0.038   0.029
  14.704    -0.012   0.035   0.033
  14.748    -0.013   0.031   0.038
  14.792    -0.013   0.026   0.042
  14.835    -0.014   0.020   0.046
  14.879    -0.015   0.014   0.048
  14.923    -0.016   0.008   0.048
  14.966    -0.016   0.001   0.048
  15.010    -0.016  -0.005   0.049
  15.053    -0.016  -0.010   0.049
  15.097    -0.015  -0.015   0.048
  15.141    -0.014  -0.019   0.045
  15.184    -0.012  -0.022   0.040
  15.228    -0.011  -0.025   0.033
  15.272    -0.010  -0.028   0.024
  15.315    -0.009  -0.030   0.016
  15.359    -0.008  -0.031   0.007
  15.403    -0.007  -0.032  -0.001
  15.446    -0.006  -0.032  -0.009
  15.490    -0.004  -0.031  -0.017
  15.533    -0.002  -0.030  -0.024
  15.577     0.000  -0.027  -0.031
  15.621     0.001  -0.024  -0.037
  15.664     0.003  -0.020  -0.043
  15.708     0.003  -0.016  -0.049
  15.752     0.004  -0.013  -0.055
  15.795     0.005  -0.011  -0.061
  15.839     0.007  -0.010  -0.066
  15.882     0.008  -0.009  -0.070
  15.926     0.009  -0.006  -0.072
  15.970     0.010  -0.003  -0.071
  16.013     0.010   0.003  -0.069
  16.057     0.010   0.009  -0.065
  16.101     0.010   0.014  -0.059
  16.144     0.010   0.019  -0.052
  16.188     0.010   0.022  -0.043
  16.232     0.011   0.024  -0.031
  16.275     0.011   0.025  -0.016
  16.319     0.012   0.025   0.001
  16.362     0.012   0.024   0.019
  16.406     0.012   0.022   0.035
  16.450     0.011   0.021   0.048
  16.493     0.011   0.020   0.055
  16.537     0.010   0.019   0.056
  16.581     0.010   0.019   0.051
  16.624     0.009   0.018   0.044
  16.668     0.008   0.017   0.036
  16.712     0.007   0.015   0.032
