 Substance:   Al_U       MP_SQL 1.56 2023/12/12 10:44:39
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms       :    Al      U   
 Atom no.    :       1       2
 Occupancies:   0.9200  0.0800
 Amplitudes  :  19.3117 25.1244
 Scale factors:   1.0000   1.0000
 Masks	      :        1       1
 Smoothing FWHM [Å]   4.99999970E-02

 Output: I(Q)
    Q [A-1]          total            1  1             2  1             2  2
  0.550000012      0.152050868       2.98207123E-02 -0.179683670      0.301913828    
  0.560000002      0.154968232       3.00737862E-02 -0.180806130      0.305700570    
  0.569999993      0.156033114       2.99309958E-02 -0.179683805      0.305785924    
  0.579999983      0.155076623       2.91835275E-02 -0.175671488      0.301564574    
  0.589999974      0.153559253       2.80008484E-02 -0.170050710      0.295609117    
  0.599999964      0.153367132       2.68166978E-02 -0.165161759      0.291712195    
  0.610000014      0.156354070       2.61967424E-02 -0.163836315      0.293993652    
  0.620000005      0.161110431       2.61154026E-02 -0.165266916      0.300261945    
  0.629999995      0.165491551       2.62902305E-02 -0.167525157      0.306726485    
  0.639999986      0.168311730       2.63778158E-02 -0.168909132      0.310843050    
  0.649999976      0.169955790       2.62138993E-02 -0.168928191      0.312670082    
  0.659999967      0.172007754       2.59102099E-02 -0.168477505      0.314575046    
  0.669999957      0.175471798       2.56333072E-02 -0.168364093      0.318202585    
  0.680000007      0.179719850       2.53663212E-02 -0.168220460      0.322573990    
  0.689999998      0.183348209       2.50203740E-02 -0.167276248      0.325604081    
  0.699999988      0.186390013       2.47468390E-02 -0.166352659      0.327995837    
  0.709999979      0.189558268       2.47178897E-02 -0.166547999      0.331388384    
  0.719999969      0.194277108       2.50074584E-02 -0.168723881      0.337993532    
  0.729999959      0.199870944       2.53372584E-02 -0.171553582      0.346087277    
  0.740000010      0.204476506       2.52929423E-02 -0.172718987      0.351902544    
  0.750000000      0.207929075       2.48554554E-02 -0.171992064      0.355065674    
  0.759999990      0.211428359       2.43305974E-02 -0.170879513      0.357977271    
  0.769999981      0.217057198       2.40709763E-02 -0.171302229      0.364288449    
  0.779999971      0.225241810       2.40878835E-02 -0.173330113      0.374484032    
  0.789999962      0.233220503       2.40411311E-02 -0.174687058      0.383866429    
  0.799999952      0.237769619       2.36208308E-02 -0.173276454      0.387425244    
  0.810000002      0.239580944       2.30370276E-02 -0.170528084      0.387071997    
  0.819999993      0.241379470       2.26601455E-02 -0.169001460      0.387720793    
  0.829999983      0.245257646       2.26065461E-02 -0.169688001      0.392339110    
  0.839999974      0.252727449       2.28087921E-02 -0.172394663      0.402313322    
  0.849999964      0.263540328       2.30751634E-02 -0.175956890      0.416422039    
  0.859999955      0.278949976       2.35054363E-02 -0.181306988      0.436751515    
  0.870000005      0.296910763       2.40577292E-02 -0.188013524      0.460866541    
  0.879999995      0.311651796       2.44905408E-02 -0.193701595      0.480862856    
  0.889999986      0.319934905       2.46543400E-02 -0.196795166      0.492075741    
  0.899999976      0.320202410       2.44024377E-02 -0.195970058      0.491770029    
  0.909999967      0.316545486       2.38645654E-02 -0.192719221      0.485400140    
  0.919999957      0.315842420       2.33782083E-02 -0.190393522      0.482857734    
  0.930000007      0.322395802       2.32250374E-02 -0.191368893      0.490539640    
  0.939999998      0.336071879       2.34594010E-02 -0.195734560      0.508347034    
  0.949999988      0.352006793       2.38376223E-02 -0.201097369      0.529266536    
  0.959999979      0.363239050       2.39032917E-02 -0.203640133      0.542975903    
  0.969999969      0.368460834       2.35533398E-02 -0.202675208      0.547582686    
  0.979999959      0.373153090       2.31412798E-02 -0.201270536      0.551282346    
  0.989999950      0.382862806       2.30381191E-02 -0.202525720      0.562350392    
   1.00000000      0.398453951       2.33268458E-02 -0.207123309      0.582250416    
   1.00999999      0.417468935       2.38412172E-02 -0.213799819      0.607427537    
   1.01999998      0.435673207       2.43387055E-02 -0.220345810      0.631680310    
   1.02999997      0.454495162       2.48659290E-02 -0.227189645      0.656818867    
   1.03999996      0.475479066       2.54569072E-02 -0.234636918      0.684659064    
   1.04999995      0.493936747       2.58545950E-02 -0.240284428      0.708366573    
   1.05999994      0.506345510       2.58949120E-02 -0.242647707      0.723098278    
   1.06999993      0.510355771       2.55203713E-02 -0.241069883      0.725905299    
   1.07999992      0.512314677       2.50800177E-02 -0.238881484      0.726116180    
   1.09000003      0.519385040       2.49570478E-02 -0.239644930      0.734072924    
   1.10000002      0.537480831       2.53901761E-02 -0.245885357      0.757975996    
   1.11000001      0.567802072       2.63677202E-02 -0.257845670      0.799279988    
   1.12000000      0.607569039       2.76861377E-02 -0.273870856      0.853753746    
   1.13000000      0.650372744       2.90517509E-02 -0.290849000      0.912169993    
   1.13999999      0.685049176       3.00577935E-02 -0.303827196      0.958818614    
   1.14999998      0.706387162       3.05460896E-02 -0.310488045      0.986329079    
   1.15999997      0.718510926       3.06509957E-02 -0.312418431       1.00027835    
   1.16999996      0.730534613       3.06834001E-02 -0.313576639       1.01342785    
   1.17999995      0.749948442       3.09201311E-02 -0.317707092       1.03673542    
   1.18999994      0.773026109       3.12364027E-02 -0.323876590       1.06566632    
   1.19999993      0.795546055       3.15402076E-02 -0.330860555       1.09486639    
   1.20999992      0.813772500       3.17586176E-02 -0.336883575       1.11889744    
   1.22000003      0.826366663       3.18842381E-02 -0.340751469       1.13523388    
   1.23000002      0.830032706       3.17821130E-02 -0.340363801       1.13861442    
   1.24000001      0.826938391       3.14815938E-02 -0.336485386       1.13194215    
   1.25000000      0.827430844       3.12921405E-02 -0.333613932       1.12975264    
   1.25999999      0.842208147       3.15522179E-02 -0.336530864       1.14718676    
   1.26999998      0.870866776       3.22564282E-02 -0.345444649       1.18405497    
   1.27999997      0.899299860       3.29325385E-02 -0.354817271       1.22118461    
   1.28999996      0.909611762       3.30410227E-02 -0.357694000       1.23426473    
   1.29999995      0.899025798       3.25255692E-02 -0.352920890       1.21942115    
   1.30999994      0.878646672       3.17765512E-02 -0.344563782       1.19143391    
   1.31999993      0.864917696       3.13470885E-02 -0.338936895       1.17250752    
   1.32999992      0.864235103       3.14584263E-02 -0.338540047       1.17131674    
   1.33999991      0.871912003       3.19559574E-02 -0.341733187       1.18168926    
   1.35000002      0.878851056       3.25084999E-02 -0.344968319       1.19131088    
   1.36000001      0.879360437       3.28286663E-02 -0.345766544       1.19229829    
   1.37000000      0.873454988       3.28289382E-02 -0.343726724       1.18435276    
   1.38000000      0.861501813       3.24837752E-02 -0.338865489       1.16788352    
   1.38999999      0.846272290       3.19253802E-02 -0.332244515       1.14659142    
   1.39999998      0.828177392       3.12636383E-02 -0.324381471       1.12129521    
   1.40999997      0.805380285       3.05827372E-02 -0.315145493       1.08994305    
   1.41999996      0.779018044       3.00317239E-02 -0.305597693       1.05458403    
   1.42999995      0.750011742       2.96467561E-02 -0.296215355       1.01658034    
   1.43999994      0.723241389       2.94918902E-02 -0.288622588      0.982372105    
   1.44999993      0.699061751       2.94027273E-02 -0.282234520      0.951893508    
   1.45999992      0.675602496       2.92089060E-02 -0.275688350      0.922081947    
   1.46999991      0.652070284       2.88799293E-02 -0.268441260      0.891631603    
   1.48000002      0.632404804       2.86170412E-02 -0.262136489      0.865924239    
   1.49000001      0.621266305       2.86856145E-02 -0.259062469      0.851643145    
   1.50000000      0.616173208       2.90022995E-02 -0.258543074      0.845713973    
   1.50999999      0.610743701       2.92867385E-02 -0.257964849      0.839421809    
   1.51999998      0.600086331       2.93258764E-02 -0.255198717      0.825959146    
   1.52999997      0.584577680       2.91119441E-02 -0.250100255      0.805565953    
   1.53999996      0.564795673       2.86910236E-02 -0.242919609      0.779024243    
   1.54999995      0.540485740       2.80795489E-02 -0.233588710      0.745994866    
   1.55999994      0.514991164       2.74408031E-02 -0.223667875      0.711218238    
   1.56999993      0.492147088       2.69184075E-02 -0.214762494      0.679991186    
   1.57999992      0.477452219       2.67629325E-02 -0.209411755      0.660101056    
   1.58999991      0.470618665       2.69548967E-02 -0.207637265      0.651301026    
   1.59999990      0.467442900       2.72706244E-02 -0.207478210      0.647650480    
   1.61000001      0.464068413       2.74322350E-02 -0.206762105      0.643398285    
   1.62000000      0.457905501       2.72269677E-02 -0.203705624      0.634384155    
   1.63000000      0.450553864       2.67627761E-02 -0.198839977      0.622631073    
   1.63999999      0.443966985       2.63068769E-02 -0.193563998      0.611224115    
   1.64999998      0.438952297       2.60569546E-02 -0.189034685      0.601930022    
   1.65999997      0.435039699       2.60345414E-02 -0.185757831      0.594762981    
   1.66999996      0.430649132       2.60937773E-02 -0.183387250      0.587942600    
   1.67999995      0.424828857       2.61245947E-02 -0.181614608      0.580318868    
   1.68999994      0.417054594       2.61026938E-02 -0.180068448      0.571020365    
   1.69999993      0.409557462       2.62174737E-02 -0.179528028      0.562867999    
   1.70999992      0.404645115       2.66089980E-02 -0.180374876      0.558411002    
   1.71999991      0.406011015       2.73711979E-02 -0.183321118      0.561960936    
   1.73000002      0.411906600       2.82303374E-02 -0.186813667      0.570489943    
   1.74000001      0.417144775       2.87969485E-02 -0.188434392      0.576782227    
   1.75000000      0.417646289       2.88791787E-02 -0.187022269      0.575789392    
   1.75999999      0.414115459       2.87107769E-02 -0.183929101      0.569333792    
   1.76999998      0.410525799       2.86579132E-02 -0.181416109      0.563283980    
   1.77999997      0.410545826       2.89539080E-02 -0.181082144      0.562674046    
   1.78999996      0.413559020       2.94528157E-02 -0.182200700      0.566306889    
   1.79999995      0.418877363       2.99883187E-02 -0.184068844      0.572957873    
   1.80999994      0.426966429       3.04951817E-02 -0.186553493      0.583024740    
   1.81999993      0.437909901       3.10050026E-02 -0.189819738      0.596724629    
   1.82999992      0.448832899       3.14497910E-02 -0.192951471      0.610334575    
   1.83999991      0.456284225       3.17464136E-02 -0.194820195      0.619358003    
   1.84999990      0.457163811       3.17610651E-02 -0.193965510      0.619368255    
   1.86000001      0.454449773       3.15939598E-02 -0.190878093      0.613733888    
   1.87000000      0.451447427       3.13755982E-02 -0.186551586      0.606623411    
   1.88000000      0.451858163       3.12975347E-02 -0.182609126      0.603169739    
   1.88999999      0.457251966       3.14186178E-02 -0.180214152      0.606047511    
   1.89999998      0.467561245       3.16886082E-02 -0.179955944      0.615828574    
   1.90999997      0.481017470       3.20015214E-02 -0.181477353      0.630493283    
   1.91999996      0.495595664       3.23302783E-02 -0.184171349      0.647436738    
   1.92999995      0.509190321       3.26615721E-02 -0.186622649      0.663151383    
   1.93999994      0.521917880       3.30382995E-02 -0.188030466      0.676910043    
   1.94999993      0.535426259       3.34637091E-02 -0.188536197      0.690498769    
   1.95999992      0.547246695       3.37510258E-02 -0.187942967      0.701438606    
   1.96999991      0.555167913       3.37526873E-02 -0.186289355      0.707704604    
   1.97999990      0.560301006       3.35345529E-02 -0.183971792      0.710738242    
   1.99000001      0.567495942       3.33888046E-02 -0.181558535      0.715665698    
   2.00000000      0.579841733       3.35262492E-02 -0.179279596      0.725595117    
   2.00999999      0.595842481       3.39496098E-02 -0.176979035      0.738871872    
   2.01999998      0.610803545       3.44270468E-02 -0.174039081      0.750415564    
   2.02999997      0.623414397       3.48379202E-02 -0.170651257      0.759227753    
   2.03999996      0.637091398       3.53002176E-02 -0.167916223      0.769707441    
   2.04999995      0.653585196       3.58778089E-02 -0.166202858      0.783910215    
   2.05999994      0.671527684       3.64783034E-02 -0.164935261      0.799984634    
   2.06999993      0.685726762       3.68382521E-02 -0.162643284      0.811531782    
   2.07999992      0.691722810       3.67444642E-02 -0.157916397      0.812894762    
   2.08999991      0.693536699       3.64470407E-02 -0.151782408      0.808872044    
   2.09999990      0.699814677       3.64284702E-02 -0.146239653      0.809625864    
   2.10999990      0.720349431       3.71767767E-02 -0.143383011      0.826555669    
   2.11999989      0.754141569       3.86590138E-02 -0.142829299      0.858311832    
   2.12999988      0.790859997       4.04093340E-02 -0.142431796      0.892882466    
   2.13999987      0.814829946       4.17252779E-02 -0.139246091      0.912350774    
   2.14999986      0.820777059       4.23738249E-02 -0.132657677      0.911060929    
   2.15999985      0.813502967       4.25418653E-02 -0.123806946      0.894768059    
   2.16999984      0.803592086       4.26183492E-02 -0.114522368      0.875496089    
   2.18000007      0.800173819       4.29447144E-02 -0.106209017      0.863438129    
   2.19000006      0.807711303       4.36795875E-02  -9.91479680E-02  0.863179684    
   2.20000005      0.829074800       4.49749008E-02  -9.33638066E-02  0.877463698    
   2.21000004      0.860600591       4.66753729E-02  -8.84187892E-02  0.902343988    
   2.22000003      0.892121792       4.83742543E-02  -8.32701027E-02  0.927017629    
   2.23000002      0.911783516       4.97021079E-02  -7.66823143E-02  0.938763738    
   2.24000001      0.914892673       5.06013595E-02  -6.77882358E-02  0.932079554    
   2.25000000      0.907587826       5.13125323E-02  -5.68002537E-02  0.913075566    
   2.25999999      0.903792620       5.23174293E-02  -4.47079837E-02  0.896183193    
   2.26999998      0.912064970       5.37741445E-02  -3.25749777E-02  0.890865803    
   2.27999997      0.931730509       5.56523502E-02  -2.08860878E-02  0.896964252    
   2.28999996      0.954451025       5.77256270E-02  -9.91544407E-03  0.906640828    
   2.29999995      0.972629666       5.98641858E-02   1.40874225E-04  0.912624598    
   2.30999994      0.986448646       6.22674860E-02   8.88306834E-03  0.915298104    
   2.31999993      0.999875188       6.51383400E-02   1.62782371E-02  0.918458581    
   2.32999992       1.01823223       6.85045347E-02   2.31232774E-02  0.926604450    
   2.33999991       1.04256308       7.20662698E-02   3.04422621E-02  0.940054536    
   2.34999990       1.06905735       7.52896816E-02   3.89265381E-02  0.954841137    
   2.35999990       1.09173644       7.78644606E-02   4.85586748E-02  0.965313256    
   2.36999989       1.11047721       8.02169666E-02   5.95844239E-02  0.970675766    
   2.37999988       1.12769639       8.29402953E-02   7.24710450E-02  0.972285032    
   2.38999987       1.14641488       8.64175409E-02   8.76835585E-02  0.972313762    
   2.39999986       1.16567147       9.04218927E-02  0.104264982      0.970984578    
   2.40999985       1.18254006       9.44653898E-02  0.120845176      0.967229486    
   2.41999984       1.20235503       9.87436771E-02  0.137505099      0.966106236    
   2.42999983       1.23443604      0.103931531      0.155810952      0.974693596    
   2.44000006       1.28399611      0.110442869      0.177403405      0.996149778    
   2.45000005       1.34625673      0.118009225      0.202536628       1.02571094    
   2.46000004       1.40796304      0.125735953      0.229535803       1.05269134    
   2.47000003       1.45902491      0.133005708      0.256396115       1.06962311    
   2.48000002       1.50083292      0.140208319      0.282757431       1.07786715    
   2.49000001       1.54529929      0.148485497      0.309971243       1.08684254    
   2.50000000       1.60156822      0.158493742      0.339318633       1.10375583    
   2.50999999       1.67556548      0.170539394      0.371876270       1.13314974    
   2.51999998       1.75945520      0.183735088      0.407076061       1.16864407    
