 Substance:   Al_U       MP_SQL 1.56 2023/12/12 10:46:32
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms       :    Al      U   
 Atom no.    :       1       2
 Occupancies:   0.9200  0.0800
 Amplitudes  :  19.3117 25.1244
 Scale factors:   1.0000   1.0000
 Masks	      :        1       1
 Smoothing FWHM [Å]   4.99999970E-02

 Output: S(Q)
    Q [A-1]          total            1  1             2  1             2  2
  0.550000012     -0.922267377       3.47523801E-02   6.63822219E-02  -1.02340198    
  0.560000002     -0.916731954       3.53809036E-02   6.36773780E-02  -1.01579022    
  0.569999993     -0.915410519       3.51124890E-02   6.60616383E-02  -1.01658463    
  0.579999983     -0.918692529       3.34713645E-02   7.50090331E-02  -1.02717292    
  0.589999974     -0.923267901       3.08402032E-02   8.76192153E-02  -1.04172730    
  0.599999964     -0.924850225       2.82032844E-02   9.85784382E-02  -1.05163193    
  0.610000014     -0.919216990       2.68473458E-02  0.101442084      -1.04750645    
  0.620000005     -0.909563363       2.67164465E-02   9.80336219E-02  -1.03431344    
  0.629999995     -0.900766790       2.71694958E-02   9.27338749E-02  -1.02067018    
  0.639999986     -0.895530283       2.74248980E-02   8.94180462E-02  -1.01237321    
  0.649999976     -0.892983079       2.71076690E-02   8.92089233E-02  -1.00929964    
  0.659999967     -0.889514744       2.64716875E-02   9.00693834E-02  -1.00605583    
  0.669999957     -0.882830679       2.58966032E-02   9.01588798E-02 -0.998886168    
  0.680000007     -0.874358892       2.53441036E-02   9.03155804E-02 -0.990018547    
  0.689999998     -0.867305219       2.46107522E-02   9.23011601E-02 -0.984217107    
  0.699999988     -0.861596584       2.40427330E-02   9.42403004E-02 -0.979879618    
  0.709999979     -0.855602682       2.40345001E-02   9.36183184E-02 -0.973255515    
  0.719999969     -0.846059203       2.47564707E-02   8.84558856E-02 -0.959271550    
  0.729999959     -0.834508121       2.55722646E-02   8.17855373E-02 -0.941865921    
  0.740000010     -0.825219154       2.55312994E-02   7.89225847E-02 -0.929673076    
  0.750000000     -0.818575382       2.45880801E-02   8.03985670E-02 -0.923562050    
  0.759999990     -0.811825216       2.34432779E-02   8.27608258E-02 -0.918029308    
  0.769999981     -0.800179422       2.29070988E-02   8.15947950E-02 -0.904681325    
  0.779999971     -0.782646060       2.30069160E-02   7.67320320E-02 -0.882385015    
  0.789999962     -0.765570641       2.29606722E-02   7.34054670E-02 -0.861936808    
  0.799999952     -0.756382704       2.20540706E-02   7.64494240E-02 -0.854886234    
  0.810000002     -0.753503203       2.07694713E-02   8.25811476E-02 -0.856853843    
  0.819999993     -0.750657737       1.99608710E-02   8.59009698E-02 -0.856519580    
  0.829999983     -0.743013620       1.98980849E-02   8.41130912E-02 -0.847024798    
  0.839999974     -0.727065444       2.04268042E-02   7.76521713E-02 -0.825144410    
  0.849999964     -0.703369021       2.11049877E-02   6.92011565E-02 -0.793675184    
  0.859999955     -0.669003427       2.21639499E-02   5.65973744E-02 -0.747764766    
  0.870000005     -0.628682911       2.35074740E-02   4.08305600E-02 -0.693020940    
  0.879999995     -0.595771015       2.45764423E-02   2.73988675E-02 -0.647746325    
  0.889999986     -0.577797055       2.50233263E-02   1.99641343E-02 -0.622784495    
  0.899999976     -0.578412414       2.45059710E-02   2.16150098E-02 -0.624533415    
  0.909999967     -0.588153958       2.33235639E-02   2.89036408E-02 -0.640381157    
  0.919999957     -0.591047525       2.22593918E-02   3.40509340E-02 -0.647357881    
  0.930000007     -0.577062309       2.19692718E-02   3.15220281E-02 -0.630553603    
  0.939999998     -0.546469212       2.25815605E-02   2.10908540E-02 -0.590141654    
  0.949999988     -0.510566413       2.35304888E-02   8.31708312E-03 -0.542414010    
  0.959999979     -0.485581756       2.37519369E-02   2.10054894E-03 -0.511434257    
  0.969999969     -0.474594593       2.30035987E-02   4.06299997E-03 -0.501661181    
  0.979999959     -0.464831591       2.21089926E-02   7.05479924E-03 -0.493995368    
  0.989999950     -0.443321735       2.19356380E-02   3.82975768E-03 -0.469087124    
   1.00000000     -0.408013701       2.26794593E-02  -7.22527504E-03 -0.423467875    
   1.00999999     -0.364630312       2.39531994E-02  -2.31696889E-02 -0.365413815    
   1.01999998     -0.323079050       2.51896996E-02  -3.88355739E-02 -0.309433162    
   1.02999997     -0.280012220       2.64981259E-02  -5.52274734E-02 -0.251282871    
   1.03999996     -0.231799051       2.79586371E-02  -7.30647892E-02 -0.186692894    
   1.04999995     -0.189444959       2.89673712E-02  -8.67027715E-02 -0.131709561    
   1.05999994     -0.161251724       2.91372873E-02  -9.26390439E-02  -9.77499560E-02
   1.06999993     -0.152785331       2.83308215E-02  -8.93074721E-02  -9.18086767E-02
   1.07999992     -0.149140209       2.73680817E-02  -8.45325515E-02  -9.19757411E-02
   1.09000003     -0.133435845       2.71522980E-02  -8.67117643E-02  -7.38763809E-02
   1.10000002      -9.16830599E-02   2.82487571E-02 -0.101822741      -1.81090720E-02
   1.11000001      -2.09805071E-02   3.06331702E-02 -0.130472153       7.88584799E-02
   1.12000000       7.21739233E-02   3.38276476E-02 -0.168781504      0.207127780    
   1.13000000      0.172671616       3.71392518E-02 -0.209411755      0.344944119    
   1.13999999      0.254092395       3.96050103E-02 -0.240638584      0.455125958    
   1.14999998      0.304034352       4.08476703E-02 -0.256944895      0.520131588    
   1.15999997      0.332202286       4.11829986E-02 -0.262056977      0.553076267    
   1.16999996      0.360180467       4.13466617E-02 -0.265344799      0.584178627    
   1.17999995      0.405768573       4.19961698E-02 -0.275702089      0.639474511    
   1.18999994      0.460149527       4.28359807E-02 -0.290926993      0.708240509    
   1.19999993      0.513295591       4.36474532E-02 -0.308117092      0.777765214    
   1.20999992      0.556303442       4.42568250E-02 -0.323047191      0.835093796    
   1.22000003      0.585955024       4.46459167E-02 -0.332863837      0.874172926    
   1.23000002      0.594349623       4.44920287E-02 -0.332540751      0.882398307    
   1.24000001      0.586610198       4.38638143E-02 -0.323878467      0.866624892    
   1.25000000      0.587433219       4.35000174E-02 -0.317608625      0.861541808    
   1.25999999      0.622438192       4.42110859E-02 -0.325177848      0.903404951    
   1.26999998      0.690747201       4.59868424E-02 -0.347121209      0.991881549    
   1.27999997      0.758633137       4.76981141E-02 -0.370201319       1.08113635    
   1.28999996      0.783164144       4.80504669E-02 -0.377737015       1.11285067    
   1.29999995      0.757561803       4.69052270E-02 -0.366917789       1.07757437    
   1.30999994      0.708382666       4.51965034E-02 -0.347466528       1.01065266    
   1.31999993      0.675114274       4.42532562E-02 -0.334547609      0.965408623    
   1.32999992      0.673194051       4.46099378E-02 -0.334195137      0.962779224    
   1.33999991      0.691411018       4.58974615E-02 -0.342490107      0.988003671    
   1.35000002      0.707880378       4.73195612E-02 -0.350899220       1.01146007    
   1.36000001      0.708861589       4.81830239E-02 -0.353440434       1.01411903    
   1.37000000      0.694351256       4.82750311E-02 -0.349130005      0.995206237    
   1.38000000      0.665197432       4.75318991E-02 -0.337989986      0.955655515    
   1.38999999      0.628068447       4.62713204E-02 -0.322572440      0.904369593    
   1.39999998      0.583939135       4.47580405E-02 -0.304119885      0.843300998    
   1.40999997      0.528340757       4.31955084E-02 -0.282307208      0.767452478    
   1.41999996      0.464003116       4.19450998E-02 -0.259700328      0.681758344    
   1.42999995      0.393140763       4.10953537E-02 -0.237455666      0.589501083    
   1.43999994      0.327594042       4.08029556E-02 -0.219520092      0.506311178    
   1.44999993      0.268239677       4.06693928E-02 -0.204482555      0.432052821    
   1.45999992      0.210542262       4.02806960E-02 -0.189033657      0.359295219    
   1.46999991      0.152573824       3.95617783E-02 -0.171850502      0.284862548    
   1.48000002      0.103938118       3.90024073E-02 -0.156934455      0.221870169    
   1.49000001       7.60281682E-02   3.92504260E-02 -0.149874151      0.186651886    
   1.50000000       6.28363490E-02   4.01042551E-02 -0.149038166      0.171770260    
   1.50999999       4.88041639E-02   4.08803746E-02 -0.148055553      0.155979350    
   1.51999998       2.19673291E-02   4.10573781E-02 -0.141718715      0.122628659    
   1.52999997      -1.67836100E-02   4.06149365E-02 -0.129661575       7.22630322E-02
   1.53999996      -6.60610944E-02   3.96642908E-02 -0.112482697       6.75730966E-03
   1.54999995     -0.126513928       3.82445902E-02  -9.00030211E-02  -7.47554973E-02
   1.55999994     -0.189966202       3.67552713E-02  -6.60383925E-02 -0.160683081    
   1.56999993     -0.247006893       3.55488807E-02  -4.45273072E-02 -0.238028467    
   1.57999992     -0.284107357       3.52417901E-02  -3.17157172E-02 -0.287633419    
   1.58999991     -0.301927686       3.57883088E-02  -2.76775546E-02 -0.310038447    
   1.59999990     -0.310767472       3.66399102E-02  -2.76075266E-02 -0.319799840    
   1.61000001     -0.320105553       3.71127427E-02  -2.61638165E-02 -0.331054479    
   1.62000000     -0.336325973       3.66814584E-02  -1.89469624E-02 -0.354060471    
   1.63000000     -0.355498344       3.56103517E-02  -7.25416094E-03 -0.383854538    
   1.63999999     -0.372806251       3.45575921E-02   5.47132455E-03 -0.412835181    
   1.64999998     -0.386249781       3.40116993E-02   1.63730383E-02 -0.436634511    
   1.65999997     -0.396982670       3.40271033E-02   2.41959207E-02 -0.455205709    
   1.66999996     -0.408908337       3.42441276E-02   2.97894422E-02 -0.472941905    
   1.67999995     -0.424385905       3.43906283E-02   3.39120850E-02 -0.492688626    
   1.68999994     -0.444722652       3.44062485E-02   3.74811664E-02 -0.516610086    
   1.69999993     -0.464396089       3.47604454E-02   3.85625362E-02 -0.537719071    
   1.70999992     -0.477675557       3.58015075E-02   3.62037532E-02 -0.549680829    
   1.71999991     -0.475373864       3.77644040E-02   2.86284797E-02 -0.541766763    
   1.73000002     -0.461802334       3.99706140E-02   1.96855702E-02 -0.521458507    
   1.74000001     -0.449838936       4.14519310E-02   1.53872855E-02 -0.506678164    
   1.75000000     -0.449641496       4.17290814E-02   1.86340548E-02 -0.510004640    
   1.75999999     -0.459481776       4.13817540E-02   2.60746647E-02 -0.526938200    
   1.76999998     -0.469475389       4.13214788E-02   3.20813954E-02 -0.542878270    
   1.77999997     -0.470470369       4.21308652E-02   3.26624624E-02 -0.545263708    
   1.78999996     -0.463988006       4.34473716E-02   2.96197571E-02 -0.537055135    
   1.79999995     -0.451729745       4.48566377E-02   2.47019492E-02 -0.521288335    
   1.80999994     -0.432520479       4.61957380E-02   1.82377510E-02 -0.496953964    
   1.81999993     -0.406136811       4.75435033E-02   9.81090777E-03 -0.463491231    
   1.82999992     -0.379759997       4.87297811E-02   1.71110022E-03 -0.430200875    
   1.83999991     -0.362036914       4.95459624E-02  -3.23418877E-03 -0.408348680    
   1.84999990     -0.360756069       4.96558361E-02  -1.35739497E-03 -0.409054518    
   1.86000001     -0.368480802       4.93093506E-02   6.12453325E-03 -0.423914671    
   1.87000000     -0.376932412       4.88331206E-02   1.67285949E-02 -0.442494124    
   1.88000000     -0.376815140       4.87081334E-02   2.63838749E-02 -0.451907158    
   1.88999999     -0.364165574       4.90828641E-02   3.21642309E-02 -0.445412666    
   1.89999998     -0.339129090       4.98320982E-02   3.25798467E-02 -0.421541035    
   1.90999997     -0.306132913       5.06896973E-02   2.85189077E-02 -0.385341525    
   1.91999996     -0.270261765       5.15876859E-02   2.15015076E-02 -0.343350947    
   1.92999995     -0.236816317       5.24926446E-02   1.50884613E-02 -0.304397434    
   1.93999994     -0.205507785       5.35126999E-02   1.13002593E-02 -0.270320743    
   1.94999993     -0.172183067       5.46562709E-02   9.78529826E-03 -0.236624628    
   1.95999992     -0.143071949       5.54520078E-02   1.10449065E-02 -0.209568873    
   1.96999991     -0.123768881       5.55264503E-02   1.49868131E-02 -0.194282144    
   1.97999990     -0.111483909       5.50448000E-02   2.06137095E-02 -0.187142417    
   1.99000001      -9.39627662E-02   5.47450446E-02   2.64914297E-02 -0.175199240    
   2.00000000      -6.33783117E-02   5.51609918E-02   3.20382006E-02 -0.150577500    
   2.00999999      -2.34955326E-02   5.63008711E-02   3.76481190E-02 -0.117444523    
   2.01999998       1.38061494E-02   5.75785451E-02   4.48867530E-02  -8.86591449E-02
   2.02999997       4.51985300E-02   5.86883128E-02   5.32711893E-02  -6.67609721E-02
   2.03999996       7.93375522E-02   5.99292219E-02   6.00111112E-02  -4.06027846E-02
   2.04999995      0.120671116       6.14636056E-02   6.41672015E-02  -4.95967967E-03
   2.05999994      0.165736735       6.30572960E-02   6.71973974E-02   3.54820564E-02
   2.06999993      0.201345116       6.40408620E-02   7.28358999E-02   6.44683540E-02
   2.07999992      0.216140389       6.38711452E-02   8.46737251E-02   6.75955191E-02
   2.08999991      0.220316082       6.31825253E-02  0.100106187       5.70273660E-02
   2.09999990      0.235864431       6.32022992E-02  0.114052340       5.86097911E-02
   2.10999990      0.287745088       6.51746988E-02  0.121173754      0.101396635    
   2.11999989      0.373470485       6.90188557E-02  0.122435749      0.182015896    
   2.12999988      0.466753483       7.35500976E-02  0.123302028      0.269901365    
   2.13999987      0.527617335       7.69773796E-02  0.131283492      0.319356441    
   2.14999986      0.542546272       7.87041262E-02  0.147959873      0.315882266    
   2.15999985      0.523729563       7.92049095E-02  0.170432493      0.274092138    
   2.16999984      0.498157978       7.94715583E-02  0.194038182      0.224648237    
   2.18000007      0.489160508       8.03765655E-02  0.215186402      0.193597525    
   2.19000006      0.508178294       8.23266655E-02  0.233154148      0.192697451    
   2.20000005      0.562598884       8.57121944E-02  0.247873291      0.229013398    
   2.21000004      0.643095016       9.01377350E-02  0.260459423      0.292497873    
   2.22000003      0.723661542       9.45629105E-02  0.273580492      0.355518103    
   2.23000002      0.773915648       9.80408639E-02  0.290403247      0.385471493    
   2.24000001      0.781777203      0.100422397      0.313156396      0.368198395    
   2.25000000      0.762932658      0.102323025      0.341303527      0.319306105    
   2.25999999      0.753078520      0.104978539      0.372312069      0.275787920    
   2.26999998      0.774203181      0.108796045      0.403454900      0.261952251    
   2.27999997      0.824617267      0.113699056      0.433485985      0.277432203    
   2.28999996      0.882931352      0.119107246      0.461698890      0.302125186    
   2.29999995      0.929621100      0.124687433      0.487586498      0.317347139    
   2.30999994      0.965138853      0.130952954      0.510116696      0.324069202    
   2.31999993      0.999678612      0.138426587      0.529199898      0.332052141    
   2.32999992       1.04694498      0.147181511      0.546883106      0.352880329    
   2.33999991       1.10964167      0.156446949      0.565802217      0.387392491    
   2.34999990       1.17796826      0.164847717      0.587740183      0.425380319    
   2.35999990       1.23651707      0.171582446      0.612655759      0.452278852    
   2.36999989       1.28495741      0.177748710      0.641186595      0.466022134    
   2.37999988       1.32951200      0.184876114      0.674542546      0.470093280    
   2.38999987       1.37797272      0.193954661      0.713929713      0.470088363    
   2.39999986       1.42786229      0.204401061      0.756883919      0.466577291    
