 Substance:BZO200d       2023/12/04 18:02:40                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Unit             1.0000  1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å]  0.119999997    

 Output: G(r)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   r [A]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   0.000   -0.000    -0.000  -0.000  -0.000  -0.000  -0.000    -0.000  -0.000  -0.000  -0.000  -0.000    -0.000  -0.000  -0.000  -0.000  -0.000
   0.040   -0.034    -0.001  -0.003  -0.001  -0.003  -0.003    -0.001  -0.003  -0.003  -0.003  -0.001    -0.003  -0.003  -0.003  -0.003  -0.001
   0.080   -0.068    -0.003  -0.005  -0.003  -0.005  -0.005    -0.003  -0.005  -0.005  -0.005  -0.003    -0.005  -0.005  -0.005  -0.005  -0.003
   0.120   -0.102    -0.004  -0.008  -0.004  -0.008  -0.008    -0.004  -0.008  -0.008  -0.008  -0.004    -0.008  -0.008  -0.008  -0.008  -0.004
   0.160   -0.136    -0.005  -0.011  -0.005  -0.011  -0.011    -0.005  -0.011  -0.011  -0.011  -0.005    -0.011  -0.011  -0.011  -0.011  -0.005
   0.200   -0.170    -0.007  -0.014  -0.007  -0.014  -0.014    -0.007  -0.014  -0.014  -0.014  -0.007    -0.014  -0.014  -0.014  -0.014  -0.007
   0.240   -0.204    -0.008  -0.016  -0.008  -0.016  -0.016    -0.008  -0.016  -0.016  -0.016  -0.008    -0.016  -0.016  -0.016  -0.016  -0.008
   0.280   -0.238    -0.010  -0.019  -0.010  -0.019  -0.019    -0.010  -0.019  -0.019  -0.019  -0.010    -0.019  -0.019  -0.019  -0.019  -0.010
   0.320   -0.273    -0.011  -0.022  -0.011  -0.022  -0.022    -0.011  -0.022  -0.022  -0.022  -0.011    -0.022  -0.022  -0.022  -0.022  -0.011
   0.360   -0.307    -0.012  -0.024  -0.012  -0.025  -0.025    -0.012  -0.025  -0.025  -0.025  -0.012    -0.025  -0.025  -0.025  -0.025  -0.012
   0.400   -0.341    -0.014  -0.027  -0.014  -0.027  -0.027    -0.014  -0.027  -0.027  -0.027  -0.014    -0.027  -0.027  -0.027  -0.027  -0.014
   0.440   -0.375    -0.015  -0.030  -0.015  -0.030  -0.030    -0.015  -0.030  -0.030  -0.030  -0.015    -0.030  -0.030  -0.030  -0.030  -0.015
   0.480   -0.409    -0.016  -0.033  -0.016  -0.033  -0.033    -0.016  -0.033  -0.033  -0.033  -0.016    -0.033  -0.033  -0.033  -0.033  -0.016
   0.520   -0.443    -0.018  -0.035  -0.018  -0.035  -0.035    -0.018  -0.035  -0.035  -0.035  -0.018    -0.035  -0.035  -0.035  -0.035  -0.018
   0.560   -0.477    -0.019  -0.038  -0.019  -0.038  -0.038    -0.019  -0.038  -0.038  -0.038  -0.019    -0.038  -0.038  -0.038  -0.038  -0.019
   0.600   -0.511    -0.020  -0.041  -0.020  -0.041  -0.041    -0.020  -0.041  -0.041  -0.041  -0.020    -0.041  -0.041  -0.041  -0.041  -0.020
   0.640   -0.545    -0.022  -0.044  -0.022  -0.044  -0.044    -0.022  -0.044  -0.044  -0.044  -0.022    -0.044  -0.044  -0.044  -0.044  -0.022
   0.680   -0.579    -0.023  -0.046  -0.023  -0.046  -0.046    -0.023  -0.046  -0.046  -0.046  -0.023    -0.046  -0.046  -0.046  -0.046  -0.023
   0.720   -0.613    -0.024  -0.049  -0.024  -0.049  -0.049    -0.025  -0.049  -0.049  -0.049  -0.025    -0.049  -0.049  -0.049  -0.049  -0.025
   0.760   -0.647    -0.026  -0.052  -0.026  -0.052  -0.052    -0.026  -0.052  -0.052  -0.052  -0.026    -0.052  -0.052  -0.052  -0.052  -0.026
   0.800   -0.681    -0.027  -0.054  -0.027  -0.055  -0.055    -0.027  -0.054  -0.054  -0.055  -0.027    -0.055  -0.054  -0.055  -0.055  -0.027
   0.840   -0.715    -0.029  -0.057  -0.029  -0.057  -0.057    -0.029  -0.057  -0.057  -0.057  -0.029    -0.057  -0.057  -0.057  -0.057  -0.029
   0.880   -0.750    -0.030  -0.060  -0.030  -0.060  -0.060    -0.030  -0.060  -0.060  -0.060  -0.030    -0.060  -0.060  -0.060  -0.060  -0.030
   0.920   -0.784    -0.031  -0.063  -0.031  -0.063  -0.063    -0.031  -0.063  -0.063  -0.063  -0.031    -0.063  -0.063  -0.063  -0.063  -0.031
   0.960   -0.818    -0.033  -0.065  -0.033  -0.065  -0.065    -0.033  -0.065  -0.065  -0.065  -0.033    -0.065  -0.065  -0.066  -0.065  -0.033
   1.000   -0.852    -0.034  -0.068  -0.034  -0.068  -0.068    -0.034  -0.068  -0.068  -0.068  -0.034    -0.068  -0.068  -0.068  -0.068  -0.034
   1.040   -0.886    -0.035  -0.071  -0.035  -0.071  -0.071    -0.036  -0.071  -0.071  -0.071  -0.035    -0.071  -0.071  -0.071  -0.071  -0.035
   1.080   -0.920    -0.037  -0.073  -0.037  -0.074  -0.074    -0.037  -0.074  -0.074  -0.074  -0.037    -0.074  -0.074  -0.074  -0.074  -0.037
   1.120   -0.954    -0.038  -0.076  -0.038  -0.076  -0.076    -0.038  -0.076  -0.076  -0.076  -0.038    -0.076  -0.076  -0.076  -0.076  -0.038
   1.160   -0.988    -0.039  -0.079  -0.039  -0.079  -0.079    -0.040  -0.079  -0.079  -0.079  -0.040    -0.079  -0.079  -0.079  -0.079  -0.040
   1.200   -1.022    -0.041  -0.082  -0.041  -0.082  -0.082    -0.041  -0.082  -0.082  -0.082  -0.041    -0.082  -0.082  -0.082  -0.082  -0.041
   1.240   -1.056    -0.042  -0.084  -0.042  -0.085  -0.084    -0.042  -0.084  -0.084  -0.085  -0.042    -0.084  -0.084  -0.085  -0.085  -0.042
   1.280   -1.090    -0.044  -0.087  -0.044  -0.087  -0.087    -0.044  -0.087  -0.087  -0.087  -0.044    -0.087  -0.087  -0.087  -0.087  -0.044
   1.320   -1.124    -0.045  -0.090  -0.045  -0.090  -0.090    -0.045  -0.090  -0.090  -0.090  -0.045    -0.090  -0.090  -0.090  -0.090  -0.045
   1.360   -1.158    -0.046  -0.093  -0.046  -0.093  -0.093    -0.046  -0.093  -0.093  -0.093  -0.046    -0.093  -0.093  -0.093  -0.093  -0.046
   1.400   -1.192    -0.048  -0.095  -0.048  -0.095  -0.095    -0.048  -0.095  -0.095  -0.095  -0.048    -0.095  -0.095  -0.096  -0.095  -0.048
   1.440   -1.227    -0.049  -0.098  -0.049  -0.098  -0.098    -0.049  -0.098  -0.098  -0.098  -0.049    -0.098  -0.098  -0.098  -0.098  -0.049
   1.480   -1.261    -0.050  -0.101  -0.050  -0.101  -0.101    -0.051  -0.101  -0.101  -0.101  -0.050    -0.101  -0.101  -0.101  -0.101  -0.051
   1.520   -1.295    -0.052  -0.103  -0.052  -0.104  -0.104    -0.052  -0.103  -0.103  -0.104  -0.052    -0.104  -0.104  -0.104  -0.104  -0.052
   1.560   -1.329    -0.053  -0.106  -0.053  -0.106  -0.106    -0.053  -0.106  -0.106  -0.106  -0.053    -0.106  -0.106  -0.106  -0.106  -0.053
   1.600   -1.363    -0.054  -0.109  -0.054  -0.109  -0.109    -0.055  -0.109  -0.109  -0.109  -0.055    -0.109  -0.109  -0.109  -0.109  -0.055
   1.640   -1.397    -0.056  -0.112  -0.056  -0.112  -0.112    -0.056  -0.112  -0.112  -0.112  -0.056    -0.112  -0.112  -0.112  -0.112  -0.056
   1.680   -1.431    -0.057  -0.114  -0.057  -0.115  -0.114    -0.057  -0.114  -0.114  -0.115  -0.057    -0.114  -0.114  -0.115  -0.115  -0.057
   1.720   -1.465    -0.059  -0.117  -0.058  -0.117  -0.117    -0.059  -0.117  -0.117  -0.117  -0.059    -0.117  -0.117  -0.117  -0.117  -0.059
   1.760   -1.499    -0.060  -0.120  -0.060  -0.120  -0.120    -0.060  -0.120  -0.120  -0.120  -0.060    -0.120  -0.120  -0.120  -0.120  -0.060
   1.800   -1.533    -0.061  -0.122  -0.061  -0.123  -0.123    -0.061  -0.123  -0.123  -0.123  -0.061    -0.123  -0.122  -0.123  -0.123  -0.061
   1.840   -1.558    -0.063  -0.125  -0.063  -0.125  -0.123    -0.063  -0.125  -0.123  -0.126  -0.063    -0.125  -0.121  -0.126  -0.125  -0.063
   1.880   -1.526    -0.064  -0.128  -0.064  -0.128  -0.105    -0.064  -0.128  -0.103  -0.128  -0.064    -0.128  -0.101  -0.128  -0.128  -0.064
   1.920   -1.280    -0.065  -0.131  -0.065  -0.131  -0.019    -0.066  -0.131  -0.007  -0.131  -0.065    -0.131  -0.011  -0.131  -0.131  -0.066
