 Substance:BZO200d       2023/12/04 18:03:23                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: F(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   0.000    0.000     0.000   0.000   0.000   0.000   0.000     0.000   0.000   0.000   0.000   0.000     0.000   0.000   0.000   0.000   0.000
   0.023   -2.659     0.104  -0.453  -0.269  -0.099   1.122    -0.532   0.197  -0.416  -0.375  -0.675    -0.457  -0.375  -0.050  -0.537   0.157
   0.047   -2.611     0.064  -0.445  -0.229  -0.070   0.990    -0.499   0.135  -0.390  -0.367  -0.627    -0.392  -0.294  -0.044  -0.527   0.085
   0.070   -2.545     0.004  -0.433  -0.180  -0.030   0.804    -0.455   0.045  -0.350  -0.353  -0.556    -0.296  -0.187  -0.036  -0.508  -0.015
   0.094   -2.471    -0.063  -0.417  -0.143   0.011   0.604    -0.416  -0.058  -0.298  -0.331  -0.471    -0.180  -0.083  -0.029  -0.478  -0.117
   0.117   -2.388    -0.127  -0.398  -0.132   0.044   0.425    -0.390  -0.152  -0.240  -0.300  -0.386    -0.062  -0.009  -0.025  -0.434  -0.201
   0.141   -2.286    -0.179  -0.371  -0.152   0.060   0.288    -0.380  -0.219  -0.180  -0.258  -0.309     0.044   0.025  -0.025  -0.377  -0.253
   0.164   -2.149    -0.213  -0.337  -0.195   0.056   0.196    -0.379  -0.246  -0.122  -0.204  -0.249     0.126   0.023  -0.030  -0.308  -0.269
   0.188   -1.974    -0.228  -0.298  -0.244   0.036   0.137    -0.379  -0.235  -0.071  -0.142  -0.207     0.178   0.000  -0.034  -0.232  -0.255
   0.211   -1.771    -0.230  -0.259  -0.283   0.007   0.094    -0.370  -0.198  -0.029  -0.078  -0.183     0.198  -0.021  -0.034  -0.160  -0.225
   0.235   -1.564    -0.225  -0.229  -0.298  -0.021   0.053    -0.351  -0.154   0.004  -0.021  -0.173     0.192  -0.026  -0.023  -0.102  -0.191
