 Substance:BZO200d       2023/12/04 18:04:07                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   0.000    0.000     0.000   0.000   0.000   0.000   0.000     0.000   0.000   0.000   0.000   0.000     0.000   0.000   0.000   0.000   0.000
   0.023   -1.659     0.134  -0.371  -0.211  -0.032   1.217    -0.494   0.264  -0.322  -0.298  -0.637    -0.390  -0.281   0.027  -0.461   0.195
   0.047   -1.611     0.093  -0.362  -0.171  -0.003   1.085    -0.460   0.202  -0.296  -0.290  -0.589    -0.325  -0.200   0.033  -0.450   0.123
   0.070   -1.545     0.034  -0.350  -0.122   0.037   0.898    -0.417   0.112  -0.255  -0.276  -0.517    -0.229  -0.092   0.040  -0.431   0.024
   0.094   -1.471    -0.034  -0.335  -0.085   0.078   0.698    -0.378   0.009  -0.203  -0.255  -0.433    -0.113   0.011   0.048  -0.401  -0.079
   0.117   -1.388    -0.098  -0.315  -0.074   0.111   0.519    -0.352  -0.085  -0.145  -0.224  -0.347     0.005   0.086   0.052  -0.358  -0.163
   0.141   -1.286    -0.150  -0.289  -0.094   0.127   0.382    -0.341  -0.152  -0.085  -0.181  -0.271     0.111   0.119   0.051  -0.300  -0.214
   0.164   -1.150    -0.183  -0.255  -0.136   0.123   0.290    -0.341  -0.179  -0.028  -0.127  -0.210     0.193   0.117   0.047  -0.231  -0.230
   0.188   -0.974    -0.199  -0.215  -0.186   0.103   0.232    -0.340  -0.168   0.024  -0.065  -0.168     0.245   0.095   0.043  -0.156  -0.217
   0.211   -0.771    -0.201  -0.177  -0.225   0.074   0.189    -0.332  -0.131   0.066  -0.002  -0.144     0.265   0.074   0.043  -0.084  -0.187
