 Substance:BZO200d       2023/12/04 18:04:51                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: I(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   0.000    0.000     0.000   0.000   0.000   0.000   0.000     0.000   0.000   0.000   0.000   0.000     0.000   0.000   0.000   0.000   0.000
   0.023   -1.624     0.247  -0.447   0.022  -0.098   1.108    -0.336   0.194  -0.411  -0.370  -0.477    -0.451  -0.370  -0.050  -0.530   0.344
   0.047   -1.577     0.207  -0.439   0.061  -0.069   0.977    -0.302   0.134  -0.385  -0.362  -0.430    -0.387  -0.290  -0.044  -0.520   0.273
   0.070   -1.512     0.149  -0.427   0.109  -0.030   0.793    -0.260   0.044  -0.345  -0.348  -0.359    -0.292  -0.184  -0.036  -0.501   0.175
   0.094   -1.439     0.082  -0.412   0.146   0.011   0.596    -0.221  -0.057  -0.294  -0.327  -0.276    -0.178  -0.082  -0.029  -0.472   0.074
   0.117   -1.358     0.019  -0.393   0.157   0.043   0.419    -0.196  -0.150  -0.237  -0.297  -0.191    -0.061  -0.009  -0.025  -0.429  -0.009
   0.141   -1.256    -0.032  -0.366   0.137   0.059   0.284    -0.185  -0.216  -0.177  -0.255  -0.116     0.043   0.025  -0.025  -0.372  -0.060
   0.164   -1.122    -0.066  -0.333   0.095   0.056   0.193    -0.185  -0.243  -0.120  -0.201  -0.056     0.124   0.022  -0.029  -0.304  -0.076
   0.188   -0.949    -0.081  -0.294   0.046   0.036   0.135    -0.184  -0.232  -0.070  -0.140  -0.015     0.175   0.000  -0.034  -0.229  -0.063
   0.211   -0.748    -0.083  -0.256   0.008   0.007   0.093    -0.176  -0.196  -0.028  -0.077   0.009     0.196  -0.021  -0.033  -0.158  -0.033
   0.235   -0.544    -0.078  -0.226  -0.007  -0.021   0.052    -0.156  -0.152   0.004  -0.021   0.018     0.189  -0.026  -0.023  -0.101   0.001
   0.258   -0.367    -0.072  -0.206   0.005  -0.040   0.008    -0.129  -0.117   0.028   0.023   0.017     0.161  -0.009   0.001  -0.066   0.030
